id,country_code
N_2267_S_LMGN,FR
SEQ_2135__L_LMGN,GB
N_92_L_LMGN,GB
SEQ_2123__L_LMGN,GB
N_41_L_LMGN,GB
SEQ_4283__L_LMGN,GB
SEQ_1226_p,GB
SEQ_1228_p,GB
SEQ_4295__L_LMGN,GB
N_95_L_LMGN,GB
SEQ_8121__M_LMGN,ES
INET_N_1822,ES
N_154_M_LMGN,ES
N_78_M_LMGN,ES
N_76_M_LMGN,ES
SEQ_7123__M_LMGN,ES
SEQ_2557__L_LMGN,IT
N_114_L_LMGN,IT
SEQ_5383__M_LMGN,MD
N_183_M_LMGN,MD
N_67_M_LMGN,TR
N_317_M_LMGN,TR
SEQ_17843__S_LMGN,FR
N_2120_S_LMGN,FR
SEQ_1291_p,FR
SEQ_2593__L_LMGN,FR
N_446_S_LMGN,RO
N_208_S_LMGN,RO
N_445_S_LMGN,RO
SEQ_7445__S_LMGN,RO
SEQ_6681__L_LMGN,IT
SEQ_6683__L_LMGN,IT
SEQ_5079__L_LMGN,IT
SEQ_5077__L_LMGN,IT
N_208_L_LMGN,IT
N_1171_S_LMGN,IT
N_1484_S_LMGN,IT
SEQ_6595__M_LMGN,IT
SEQ_6599__M_LMGN,IT
N_1555_S_LMGN,CZ
N_1556_S_LMGN,CZ
N_1788_S_LMGN,CZ
SEQ_3675__L_LMGN,CZ
SEQ_3671__L_LMGN,CZ
SEQ_1565__M_LMGN,ES
N_153_M_LMGN,ES
SEQ_2091__M_LMGN,ES
SEQ_15887__S_LMGN,ES
SEQ_4097__M_LMGN,HU
SEQ_4101__M_LMGN,HU
N_397_M_LMGN,HU
N_1288_S_LMGN,BE
SEQ_7927__L_LMGN,BE
N_283_L_LMGN,BE
SEQ_7759__L_LMGN,PL
SEQ_1261__M_LMGN,PL
SEQ_1263__M_LMGN,PL
SEQ_1265__M_LMGN,PL
SEQ_1374_p,ES
N_802_M_LMGN,ES
N_726_M_LMGN,ES
SEQ_8085__M_LMGN,ES
SEQ_8081__M_LMGN,ES
SEQ_8071__M_LMGN,FR
SEQ_8075__M_LMGN,FR
SEQ_8069__M_LMGN,FR
SEQ_8065__M_LMGN,FR
SEQ_8057__M_LMGN,FR
N_654_M_LMGN,FR
SEQ_4585__M_LMGN,FR
SEQ_4577__M_LMGN,FR
SEQ_4573__M_LMGN,FR
SEQ_19991__S_LMGN,FR
N_2553_S_LMGN,FR
N_2438_S_LMGN,FR
SEQ_2153__L_LMGN,FR
N_97_L_LMGN,FR
SEQ_3271__L_LMGN,FR
N_184_L_LMGN,GB
N_94_L_LMGN,GB
SEQ_1402_p,GB
SEQ_1403_p,GB
SEQ_1404_p,GB
SEQ_2109__L_LMGN,GB
SEQ_4389__L_LMGN,FR
SEQ_4395__L_LMGN,FR
N_151_L_LMGN,FR
SEQ_5953__L_LMGN,FR
SEQ_5951__L_LMGN,FR
SEQ_5947__L_LMGN,FR
N_238_L_LMGN,FR
SEQ_5963__L_LMGN,FR
N_624_S_LMGN,FR
N_689_M_LMGN,PL
N_690_M_LMGN,PL
N_840_M_LMGN,PL
SEQ_9603__M_LMGN,PL
SEQ_9601__M_LMGN,PL
N_1783_S_LMGN,PL
N_1780_S_LMGN,PL
SEQ_19887__S_LMGN,PL
N_75_L_LMGN,TR
SEQ_2507__S_LMGN,TR
N_209_M_LMGN,TR
SEQ_9907__M_LMGN,TR
SEQ_1448_p,ES
N_868_M_LMGN,ES
SEQ_1450_p,ES
SEQ_9199__M_LMGN,ES
SEQ_9201__M_LMGN,ES
