id,name,source_id,node_id,lat,long,country_code,comment,tags,nuts_id_1,nuts_id_2,nuts_id_3,uncertainty_nuts_id_1,uncertainty_nuts_id_2,uncertainty_nuts_id_3,method_nuts_id_1,method_nuts_id_2,method_nuts_id_3
N_169_M_LMGN,N_169_M_LMGN,['XX_5505'],['N_169_M_LMGN'],42.23364,51.14372,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_172_M_LMGN,N_172_M_LMGN,['XX_5310'],['N_172_M_LMGN'],31.19709000000001,27.635690000000004,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_175_M_LMGN,N_175_M_LMGN,['XX_5512'],['N_175_M_LMGN'],31.42745,29.174640000000004,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_175_NS_LMGN,N_175_NS_LMGN,['XX_9977'],['N_175_NS_LMGN'],57.91549499999999,0.396385,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_177_L_LMGN,N_177_L_LMGN,['XX_4849'],['N_177_L_LMGN'],31.64378,29.9107,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_178_L_LMGN,N_178_L_LMGN,['XX_4852'],['N_178_L_LMGN'],31.56215,29.85844,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_179_M_LMGN,N_179_M_LMGN,['XX_5519'],['N_179_M_LMGN'],32.189029999999995,31.2251,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_181_NS_LMGN,N_181_NS_LMGN,['XX_10041'],['N_181_NS_LMGN'],54.33201,1.835475,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_183_NS_LMGN,N_183_NS_LMGN,['XX_10043'],['N_183_NS_LMGN'],54.06495,2.18758,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_184_NS_LMGN,N_184_NS_LMGN,['XX_10042'],['N_184_NS_LMGN'],54.37872,2.04299,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_187_NS_LMGN,N_187_NS_LMGN,['XX_2435'],['N_187_NS_LMGN'],52.66606,2.20086,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_194_NS_LMGN,N_194_NS_LMGN,['XX_10049'],['N_194_NS_LMGN'],58.7381,2.83609,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
N_198_NS_LMGN,N_198_NS_LMGN,['XX_10054'],['N_198_NS_LMGN'],53.56765,4.59083,XX,,{},XX,XX,XX,0,0,0,M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num(),M_Consumers.add_Nuts_Num()
