id,name,comment,diameter_mm,end_year,is_H_gas,is_bothDirection,lat_mean,length_km,long_mean,max_cap_M_m3_per_d,max_pressure_bar,num_compressor,start_year,waterDepth_m,from_node_id,to_node_id,from_country_code,to_country_code,from_lat,to_lat,from_long,to_long,manually_added
INET_PL_229,Gonars_Villesse,,660.4,2050,1.0,0.0,45.8798235,16.137817717428256,13.337770500000001,45.51031743360152,70.0,3.0,1983.0,292.0434688938135,INET_N_1574,INET_N_552,IT,IT,45.862614,45.897033,13.438999,13.236542,False
INET_PL_233,Grumento_Moliterno,,508.0,2050,1.0,0.0,40.2796415,8.818206659980595,15.884968,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_985,INET_N_577,IT,IT,40.242959,40.316324,15.865276,15.90466,False
INET_PL_235,Grumento_MonteAlpi_1,,558.8,2050,1.0,0.0,40.4713905,35.16508250963108,15.945000499999999,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_991,INET_N_577,IT,IT,40.626457,40.316324,15.985341,15.90466,False
INET_PL_237,Grumento_MonteAlpi_2,,304.8,2050,1.0,0.0,40.4713905,35.16508250963108,15.945000499999999,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_991,INET_N_577,IT,IT,40.626457,40.316324,15.985341,15.90466,False
INET_PL_239,Grumento_MontesanoSullaMarcellana,,1066.8,2050,1.0,0.0,40.2990695,20.499540340193082,15.7859735,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_993,INET_N_577,IT,IT,40.281815,40.316324,15.667287,15.90466,False
INET_PL_241_EE_0,HAG_10,,700.0,2050,1.0,0.0,48.2031475,28.941040125752583,16.971664,45.51031743360152,70.0,3.0,1983.0,292.0434688938135,INET_N_138,INET_N_765,AT,AT,48.316295,48.09,16.875328,17.068,False
INET_PL_241_EE_1,HAG_11,,700.0,2050,1.0,0.0,48.05,9.358974696246204,17.0875,45.51031743360152,70.0,3.0,1983.0,292.0434688938135,INET_N_765,INET_N_357,AT,AT,48.09,48.01,17.068,17.107,False
INET_PL_244,Hauts_de_France,,923.7925292425738,2050,1.0,0.0,50.228601499999996,157.65384962042143,2.50978,45.51031743360152,75.0,3.0,1996.0,292.0434688938135,INET_N_336,INET_N_1146,FR,FR,49.530886,50.926317,2.703964,2.315596,False
INET_PL_246,Hauts_de_France_II,,1220.0,2050,1.0,0.0,50.9797255,14.58537635338789,2.2551940000000004,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1146,INET_N_407,FR,FR,50.926317,51.033134,2.315596,2.194792,False
INET_PL_248_EE_0,Huelva_Cordoba0,,762.0,2050,1.0,0.0,37.2586962,85.54883696563063,-6.4676294500000004,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_645,INET_N_1354,ES,ES,37.2583,37.2590924,-6.9508,-5.9844589,False
INET_PL_248_EE_1,Huelva_Cordoba1,,762.0,2050,1.0,0.0,37.582546199999996,135.63811815015902,-5.33224445,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1354,INET_N_314,ES,ES,37.2590924,37.906,-5.9844589,-4.68003,False
INET_PL_251,IndefatigableHewitt_Bacton,,923.7925292425738,2050,1.0,0.0,53.2003,95.63948286225721,1.8835000000000002,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_103,INET_N_667,GB,GB,52.8506,53.55,1.466,2.301,False
INET_PL_253,Interconnector,,1016.0,2050,1.0,1.0,52.0868,207.65887005513727,2.3395,69.863,75.0,3.0,1998.0,372.62316214040777,INET_N_1656,INET_N_103,BE,GB,51.323,52.8506,3.213,1.466,False
INET_PL_255_EE_0,Interconnector_10,,610.0,2050,1.0,0.0,53.593371000000005,13.618364030176776,-6.153245,8.767123,60.0,3.0,1993.0,170.46526787686295,INET_N_886,INET_N_555,IE,IE,53.548,53.638742,-6.084,-6.22249,False
INET_PL_255_EE_1,Interconnector_11,,610.0,2050,1.0,0.0,54.213046000000006,186.70001918773326,-5.175805,8.767123,60.0,3.0,1993.0,170.46526787686295,INET_N_555,INET_N_222,IE,GB,53.638742,54.78735,-6.22249,-4.12912,False
INET_PL_255_EE_2,Interconnector_12,,610.0,2050,1.0,0.0,54.167675,187.62098854828406,-5.10656,8.767123,60.0,3.0,1993.0,170.46526787686295,INET_N_222,INET_N_886,GB,IE,54.78735,53.548,-4.12912,-6.084,False
INET_PL_259,Istrana_Mira,,762.0,2050,1.0,0.0,45.571141,32.39724748070292,12.1016175,45.51031743360152,70.0,3.0,1983.0,292.0434688938135,INET_N_970,INET_N_691,IT,IT,45.426979,45.715303,12.131102,12.072133,False
INET_PL_261,Istrana_SPoloDiPiave_1,,914.4,2050,1.0,0.0,45.7517625,26.2522426564326,12.232982499999999,45.51031743360152,58.0,3.0,1983.0,292.0434688938135,INET_N_1278,INET_N_691,IT,IT,45.788222,45.715303,12.393832,12.072133,False
INET_PL_263,Istrana_SPoloDiPiave_2,,1066.8,2050,1.0,0.0,45.7517625,26.2522426564326,12.232982499999999,45.51031743360152,70.0,3.0,1983.0,292.0434688938135,INET_N_1278,INET_N_691,IT,IT,45.788222,45.715303,12.393832,12.072133,False
INET_PL_265,Istrana_SPoloDiPiave_3,,1219.2,2050,1.0,0.0,45.7517625,26.2522426564326,12.232982499999999,45.51031743360152,75.0,3.0,1983.0,292.0434688938135,INET_N_1278,INET_N_691,IT,IT,45.788222,45.715303,12.393832,12.072133,False
INET_PL_267_EE_0,JAGAL_10,,1200.0,2050,1.0,0.0,52.445044249999995,35.06656485783952,14.2152806,76.71232877,126.09934665246618,1.0,1999.0,395.2866535125329,INET_N_915,INET_N_741,DE,DE,52.441781,52.4483075,14.47384,13.9567212,False
INET_PL_267_EE_1,JAGAL_11,,1200.0,2050,1.0,0.0,52.263073750000004,50.05184857784196,13.7480521,76.71232877,126.09934665246618,1.0,1999.0,395.2866535125329,INET_N_741,INET_N_1199,DE,DE,52.4483075,52.07784,13.9567212,13.539383,False
INET_PL_267_EE_2,JAGAL_12,,1200.0,2050,1.0,0.0,51.8905745,97.71309599544736,12.895586000000002,76.71232877,126.09934665246618,1.0,1999.0,395.2866535125329,INET_N_1199,INET_N_185,DE,DE,52.07784,51.703309,13.539383,12.251789,False
INET_PL_267_EE_3,JAGAL_13,,1200.0,2050,1.0,0.0,51.258765999999994,98.90161842392115,12.242349,76.71232877,126.09934665246618,1.0,1999.0,395.2866535125329,INET_N_185,INET_N_1266,DE,DE,51.703309,50.814223,12.251789,12.232909,False
INET_PL_272_EE_0,JAMAL_10,,1420.0,2050,1.0,0.0,53.001402049999996,110.84122424670358,23.06889935,90.4109589,84.0,3.0,1999.0,440.6135455608449,INET_N_775,INET_N_1652,PL,PL,53.01781,52.9849941,23.896413,22.2413857,False
INET_PL_272_EE_1,JAMAL_11,,1420.0,2050,1.0,0.0,52.93323895,109.32228283036615,21.43059025,90.4109589,84.0,3.0,1999.0,440.6135455608449,INET_N_1652,INET_N_301,PL,PL,52.9849941,52.8814838,22.2413857,20.6197948,False
